,movieId,genres,Title,year_released
0,1,"adventure, animation, children, comedy, fantasy",Toy Story ,1995
1,2,"adventure, children, fantasy",Jumanji ,1995
2,3,"comedy, romance",Grumpier Old Men ,1995
3,4,"comedy, drama, romance",Waiting to Exhale ,1995
4,5,comedy,Father of the Bride Part II ,1995
5,6,"action, crime, thriller",Heat ,1995
6,7,"comedy, romance",Sabrina ,1995
7,8,"adventure, children",Tom and Huck ,1995
8,9,action,Sudden Death ,1995
9,10,"action, adventure, thriller",GoldenEye ,1995
10,11,"comedy, drama, romance","American President, The ",1995
11,12,"comedy, horror",Dracula: Dead and Loving It ,1995
12,13,"adventure, animation, children",Balto ,1995
13,14,drama,Nixon ,1995
14,15,"action, adventure, romance",Cutthroat Island ,1995
15,16,"crime, drama",Casino ,1995
16,17,"drama, romance",Sense and Sensibility ,1995
17,18,comedy,Four Rooms ,1995
18,19,comedy,Ace Ventura: When Nature Calls ,1995
19,20,"action, comedy, crime, drama, thriller",Money Train ,1995
20,21,"comedy, crime, thriller",Get Shorty ,1995
21,22,"crime, drama, horror, mystery, thriller",Copycat ,1995
22,23,"action, crime, thriller",Assassins ,1995
23,24,"drama, sci-fi",Powder ,1995
24,25,"drama, romance",Leaving Las Vegas ,1995
25,26,drama,Othello ,1995
26,27,"children, drama",Now and Then ,1995
27,28,"drama, romance",Persuasion ,1995
28,29,"adventure, drama, fantasy, mystery, sci-fi","City of Lost Children, The ","Cité des enfants perdus, La (1995"
29,30,"crime, drama",Shanghai Triad ,Yao a yao yao dao waipo qiao (1995
30,31,drama,Dangerous Minds ,1995
31,32,"mystery, sci-fi, thriller",Twelve Monkeys ,a.k.a. 12 Monkeys (1995
32,34,"children, drama",Babe ,1995
33,36,"crime, drama",Dead Man Walking ,1995
34,38,"children, comedy",It Takes Two ,1995
35,39,"comedy, romance",Clueless ,1995
36,40,drama,"Cry, the Beloved Country ",1995
37,41,"drama, war",Richard III ,1995
38,42,"action, crime, drama",Dead Presidents ,1995
39,43,drama,Restoration ,1995
40,44,"action, adventure, fantasy",Mortal Kombat ,1995
41,45,"comedy, drama, thriller",To Die For ,1995
42,46,"drama, romance",How to Make an American Quilt ,1995
43,47,"mystery, thriller",Seven ,a.k.a. Se7en (1995
44,48,"animation, children, drama, musical, romance",Pocahontas ,1995
45,49,"drama, romance",When Night Is Falling ,1995
46,50,"crime, mystery, thriller","Usual Suspects, The ",1995
47,52,"comedy, drama, romance",Mighty Aphrodite ,1995
48,53,"adventure, drama",Lamerica ,1994
49,54,"children, comedy","Big Green, The ",1995
50,55,drama,Georgia ,1995
51,57,drama,Home for the Holidays ,1995
52,58,"comedy, drama, romance","Postman, The ","Postino, Il (1994"
53,60,"adventure, children, fantasy","Indian in the Cupboard, The ",1995
54,61,"drama, thriller",Eye for an Eye ,1996
55,62,drama,Mr. Holland's Opus ,1995
56,63,"comedy, crime",Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996
57,64,"comedy, romance",Two if by Sea ,1996
58,65,comedy,Bio-Dome ,1996
59,66,"action, sci-fi, thriller",Lawnmower Man 2: Beyond Cyberspace ,1996
